Time,Phrase,Site,Count
2017-03-23 22:26:38,newsletter,http://www.pbs.org,1
2017-03-23 22:26:38,this,http://www.pbs.org,95
2017-03-23 22:26:38,is,http://www.pbs.org,346
2017-03-23 22:26:38,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-23 22:27:57,twitter,http://www.nd.edu,0
2017-03-23 22:27:57,facebook,http://www.nd.edu,0
2017-03-23 22:27:57,newsletter,http://www.nd.edu,0
2017-03-23 22:27:57,this,http://www.nd.edu,0
2017-03-23 22:27:57,is,http://www.nd.edu,0
2017-03-23 22:27:57,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-23 22:27:57,twitter,http://www.cnn.com,9
2017-03-23 22:27:57,facebook,http://www.cnn.com,9
2017-03-23 22:27:57,newsletter,http://www.cnn.com,19
2017-03-23 22:27:57,this,http://www.cnn.com,10
2017-03-23 22:27:57,is,http://www.cnn.com,329
2017-03-23 22:27:57,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-23 22:27:59,twitter,http://www.pbs.org,65
2017-03-23 22:27:59,facebook,http://www.pbs.org,50
2017-03-23 22:27:59,newsletter,http://www.pbs.org,1
2017-03-23 22:27:59,this,http://www.pbs.org,95
2017-03-23 22:27:59,is,http://www.pbs.org,346
2017-03-23 22:27:59,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 14:18:30,twitter,http://www.nd.edu,0
2017-03-24 14:18:30,facebook,http://www.nd.edu,0
2017-03-24 14:18:30,newsletter,http://www.nd.edu,0
2017-03-24 14:18:30,this,http://www.nd.edu,0
2017-03-24 14:18:30,is,http://www.nd.edu,0
2017-03-24 14:18:30,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 14:18:30,twitter,http://www.cnn.com,9
2017-03-24 14:18:30,facebook,http://www.cnn.com,9
2017-03-24 14:18:30,newsletter,http://www.cnn.com,19
2017-03-24 14:18:30,this,http://www.cnn.com,8
2017-03-24 14:18:30,is,http://www.cnn.com,319
2017-03-24 14:18:30,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 14:18:34,twitter,http://www.pbs.org,69
2017-03-24 14:18:34,facebook,http://www.pbs.org,50
2017-03-24 14:18:34,newsletter,http://www.pbs.org,1
2017-03-24 14:18:34,this,http://www.pbs.org,95
2017-03-24 14:18:34,is,http://www.pbs.org,365
2017-03-24 14:18:34,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 15:39:51,twitter,http://www.nd.edu,0
2017-03-24 15:39:51,facebook,http://www.nd.edu,0
2017-03-24 15:39:51,newsletter,http://www.nd.edu,0
2017-03-24 15:39:51,this,http://www.nd.edu,0
2017-03-24 15:39:51,is,http://www.nd.edu,0
2017-03-24 15:39:51,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 15:39:51,twitter,http://www.cnn.com,9
2017-03-24 15:39:51,facebook,http://www.cnn.com,9
2017-03-24 15:39:51,newsletter,http://www.cnn.com,19
2017-03-24 15:39:51,this,http://www.cnn.com,9
2017-03-24 15:39:51,is,http://www.cnn.com,313
2017-03-24 15:39:51,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 15:39:54,twitter,http://www.pbs.org,71
2017-03-24 15:39:54,facebook,http://www.pbs.org,50
2017-03-24 15:39:54,newsletter,http://www.pbs.org,1
2017-03-24 15:39:54,this,http://www.pbs.org,95
2017-03-24 15:39:54,is,http://www.pbs.org,366
2017-03-24 15:39:54,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 16:30:27,twitter,http://www.nd.edu,0
2017-03-24 16:30:27,facebook,http://www.nd.edu,0
2017-03-24 16:30:27,newsletter,http://www.nd.edu,0
2017-03-24 16:30:27,this,http://www.nd.edu,0
2017-03-24 16:30:27,is,http://www.nd.edu,0
2017-03-24 16:30:27,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 16:30:28,twitter,http://www.cnn.com,9
2017-03-24 16:30:28,facebook,http://www.cnn.com,9
2017-03-24 16:30:28,newsletter,http://www.cnn.com,19
2017-03-24 16:30:28,this,http://www.cnn.com,9
2017-03-24 16:30:28,is,http://www.cnn.com,314
2017-03-24 16:30:28,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 16:30:30,twitter,http://www.pbs.org,77
2017-03-24 16:30:30,facebook,http://www.pbs.org,50
2017-03-24 16:30:30,newsletter,http://www.pbs.org,1
2017-03-24 16:30:30,this,http://www.pbs.org,94
2017-03-24 16:30:30,is,http://www.pbs.org,345
2017-03-24 16:30:30,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:07:57,twitter,http://www.nd.edu,0
2017-03-24 17:07:57,facebook,http://www.nd.edu,0
2017-03-24 17:07:57,newsletter,http://www.nd.edu,0
2017-03-24 17:07:57,this,http://www.nd.edu,0
2017-03-24 17:07:57,is,http://www.nd.edu,0
2017-03-24 17:07:57,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:07:57,twitter,http://www.cnn.com,9
2017-03-24 17:07:57,facebook,http://www.cnn.com,9
2017-03-24 17:07:57,newsletter,http://www.cnn.com,19
2017-03-24 17:07:57,this,http://www.cnn.com,9
2017-03-24 17:07:57,is,http://www.cnn.com,312
2017-03-24 17:07:57,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:07:59,twitter,http://www.pbs.org,77
2017-03-24 17:07:59,facebook,http://www.pbs.org,50
2017-03-24 17:07:59,newsletter,http://www.pbs.org,1
2017-03-24 17:07:59,this,http://www.pbs.org,94
2017-03-24 17:07:59,is,http://www.pbs.org,345
2017-03-24 17:07:59,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:08:34,twitter,http://www.nd.edu,0
2017-03-24 17:08:34,facebook,http://www.nd.edu,0
2017-03-24 17:08:34,newsletter,http://www.nd.edu,0
2017-03-24 17:08:34,this,http://www.nd.edu,0
2017-03-24 17:08:34,is,http://www.nd.edu,0
2017-03-24 17:08:34,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:08:34,twitter,http://www.cnn.com,9
2017-03-24 17:08:34,facebook,http://www.cnn.com,9
2017-03-24 17:08:34,newsletter,http://www.cnn.com,19
2017-03-24 17:08:34,this,http://www.cnn.com,9
2017-03-24 17:08:34,is,http://www.cnn.com,312
2017-03-24 17:08:34,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:08:35,twitter,http://www.pbs.org,77
2017-03-24 17:08:35,facebook,http://www.pbs.org,50
2017-03-24 17:08:35,newsletter,http://www.pbs.org,1
2017-03-24 17:08:35,this,http://www.pbs.org,94
2017-03-24 17:08:35,is,http://www.pbs.org,345
2017-03-24 17:08:35,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:08:51,twitter,http://www.nd.edu,0
2017-03-24 17:08:51,facebook,http://www.nd.edu,0
2017-03-24 17:08:51,newsletter,http://www.nd.edu,0
2017-03-24 17:08:51,this,http://www.nd.edu,0
2017-03-24 17:08:51,is,http://www.nd.edu,0
2017-03-24 17:08:51,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:08:51,twitter,http://www.cnn.com,9
2017-03-24 17:08:51,facebook,http://www.cnn.com,9
2017-03-24 17:08:51,newsletter,http://www.cnn.com,19
2017-03-24 17:08:51,this,http://www.cnn.com,9
2017-03-24 17:08:51,is,http://www.cnn.com,312
2017-03-24 17:08:51,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:08:53,twitter,http://www.pbs.org,77
2017-03-24 17:08:53,facebook,http://www.pbs.org,50
2017-03-24 17:08:53,newsletter,http://www.pbs.org,1
2017-03-24 17:08:53,this,http://www.pbs.org,94
2017-03-24 17:08:53,is,http://www.pbs.org,345
2017-03-24 17:08:53,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:11:18,twitter,http://www.nd.edu,0
2017-03-24 17:11:18,facebook,http://www.nd.edu,0
2017-03-24 17:11:18,newsletter,http://www.nd.edu,0
2017-03-24 17:11:18,this,http://www.nd.edu,0
2017-03-24 17:11:18,is,http://www.nd.edu,0
2017-03-24 17:11:18,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:11:19,twitter,http://www.cnn.com,9
2017-03-24 17:11:19,facebook,http://www.cnn.com,9
2017-03-24 17:11:19,newsletter,http://www.cnn.com,19
2017-03-24 17:11:19,this,http://www.cnn.com,9
2017-03-24 17:11:19,is,http://www.cnn.com,313
2017-03-24 17:11:19,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:11:21,twitter,http://www.pbs.org,77
2017-03-24 17:11:21,facebook,http://www.pbs.org,50
2017-03-24 17:11:21,newsletter,http://www.pbs.org,1
2017-03-24 17:11:21,this,http://www.pbs.org,94
2017-03-24 17:11:21,is,http://www.pbs.org,345
2017-03-24 17:11:21,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:11:43,twitter,http://www.nd.edu,0
2017-03-24 17:11:43,facebook,http://www.nd.edu,0
2017-03-24 17:11:43,newsletter,http://www.nd.edu,0
2017-03-24 17:11:43,this,http://www.nd.edu,0
2017-03-24 17:11:43,is,http://www.nd.edu,0
2017-03-24 17:11:43,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:11:43,twitter,http://www.cnn.com,9
2017-03-24 17:11:43,facebook,http://www.cnn.com,9
2017-03-24 17:11:43,newsletter,http://www.cnn.com,19
2017-03-24 17:11:43,this,http://www.cnn.com,9
2017-03-24 17:11:43,is,http://www.cnn.com,313
2017-03-24 17:11:43,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:11:43,twitter,http://www.pbs.org,77
2017-03-24 17:11:43,facebook,http://www.pbs.org,50
2017-03-24 17:11:43,newsletter,http://www.pbs.org,1
2017-03-24 17:11:43,this,http://www.pbs.org,94
2017-03-24 17:11:43,is,http://www.pbs.org,345
2017-03-24 17:11:43,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:11:48,twitter,http://www.nd.edu,0
2017-03-24 17:11:48,facebook,http://www.nd.edu,0
2017-03-24 17:11:48,newsletter,http://www.nd.edu,0
2017-03-24 17:11:48,this,http://www.nd.edu,0
2017-03-24 17:11:48,is,http://www.nd.edu,0
2017-03-24 17:11:48,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:11:48,twitter,http://www.cnn.com,9
2017-03-24 17:11:48,facebook,http://www.cnn.com,9
2017-03-24 17:11:48,newsletter,http://www.cnn.com,19
2017-03-24 17:11:48,this,http://www.cnn.com,9
2017-03-24 17:11:48,is,http://www.cnn.com,313
2017-03-24 17:11:48,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:11:49,twitter,http://www.pbs.org,77
2017-03-24 17:11:49,facebook,http://www.pbs.org,50
2017-03-24 17:11:49,newsletter,http://www.pbs.org,1
2017-03-24 17:11:49,this,http://www.pbs.org,94
2017-03-24 17:11:49,is,http://www.pbs.org,345
2017-03-24 17:11:49,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:12:27,twitter,http://www.nd.edu,0
2017-03-24 17:12:27,facebook,http://www.nd.edu,0
2017-03-24 17:12:27,newsletter,http://www.nd.edu,0
2017-03-24 17:12:27,this,http://www.nd.edu,0
2017-03-24 17:12:27,is,http://www.nd.edu,0
2017-03-24 17:12:27,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:12:27,twitter,http://www.cnn.com,9
2017-03-24 17:12:27,facebook,http://www.cnn.com,9
2017-03-24 17:12:27,newsletter,http://www.cnn.com,19
2017-03-24 17:12:27,this,http://www.cnn.com,9
2017-03-24 17:12:27,is,http://www.cnn.com,313
2017-03-24 17:12:27,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:12:29,twitter,http://www.pbs.org,77
2017-03-24 17:12:29,facebook,http://www.pbs.org,50
2017-03-24 17:12:29,newsletter,http://www.pbs.org,1
2017-03-24 17:12:29,this,http://www.pbs.org,94
2017-03-24 17:12:29,is,http://www.pbs.org,345
2017-03-24 17:12:29,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:13:52,twitter,http://www.nd.edu,0
2017-03-24 17:13:52,facebook,http://www.nd.edu,0
2017-03-24 17:13:52,newsletter,http://www.nd.edu,0
2017-03-24 17:13:52,this,http://www.nd.edu,0
2017-03-24 17:13:52,is,http://www.nd.edu,0
2017-03-24 17:13:52,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:13:53,twitter,http://www.cnn.com,9
2017-03-24 17:13:53,facebook,http://www.cnn.com,9
2017-03-24 17:13:53,newsletter,http://www.cnn.com,19
2017-03-24 17:13:53,this,http://www.cnn.com,9
2017-03-24 17:13:53,is,http://www.cnn.com,314
2017-03-24 17:13:53,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:13:54,twitter,http://www.pbs.org,77
2017-03-24 17:13:54,facebook,http://www.pbs.org,50
2017-03-24 17:13:54,newsletter,http://www.pbs.org,1
2017-03-24 17:13:54,this,http://www.pbs.org,94
2017-03-24 17:13:54,is,http://www.pbs.org,345
2017-03-24 17:13:54,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:27:19,twitter,http://www.cnn.com,9
2017-03-24 17:27:19,facebook,http://www.cnn.com,9
2017-03-24 17:27:19,newsletter,http://www.cnn.com,19
2017-03-24 17:27:19,this,http://www.cnn.com,9
2017-03-24 17:27:19,is,http://www.cnn.com,313
2017-03-24 17:27:19,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:27:19,twitter,http://www.nd.edu,0
2017-03-24 17:27:19,facebook,http://www.nd.edu,0
2017-03-24 17:27:19,newsletter,http://www.nd.edu,0
2017-03-24 17:27:19,this,http://www.nd.edu,0
2017-03-24 17:27:19,is,http://www.nd.edu,0
2017-03-24 17:27:19,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:27:19,twitter,http://www.pbs.org,77
2017-03-24 17:27:19,facebook,http://www.pbs.org,50
2017-03-24 17:27:19,newsletter,http://www.pbs.org,1
2017-03-24 17:27:19,this,http://www.pbs.org,94
2017-03-24 17:27:19,is,http://www.pbs.org,345
2017-03-24 17:27:19,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:30:28,twitter,http://www.cnn.com,9
2017-03-24 17:30:28,facebook,http://www.cnn.com,9
2017-03-24 17:30:28,newsletter,http://www.cnn.com,19
2017-03-24 17:30:28,this,http://www.cnn.com,9
2017-03-24 17:30:28,is,http://www.cnn.com,310
2017-03-24 17:30:28,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:30:28,twitter,http://www.nd.edu,0
2017-03-24 17:30:28,facebook,http://www.nd.edu,0
2017-03-24 17:30:28,newsletter,http://www.nd.edu,0
2017-03-24 17:30:28,this,http://www.nd.edu,0
2017-03-24 17:30:28,is,http://www.nd.edu,0
2017-03-24 17:30:28,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:30:28,twitter,http://www.pbs.org,77
2017-03-24 17:30:28,facebook,http://www.pbs.org,50
2017-03-24 17:30:28,newsletter,http://www.pbs.org,1
2017-03-24 17:30:28,this,http://www.pbs.org,94
2017-03-24 17:30:28,is,http://www.pbs.org,345
2017-03-24 17:30:28,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 17:30:52,twitter,http://www.cnn.com,9
2017-03-24 17:30:52,facebook,http://www.cnn.com,9
2017-03-24 17:30:52,newsletter,http://www.cnn.com,19
2017-03-24 17:30:52,this,http://www.cnn.com,9
2017-03-24 17:30:52,is,http://www.cnn.com,310
2017-03-24 17:30:52,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-24 17:30:52,twitter,http://www.nd.edu,0
2017-03-24 17:30:52,facebook,http://www.nd.edu,0
2017-03-24 17:30:52,newsletter,http://www.nd.edu,0
2017-03-24 17:30:52,this,http://www.nd.edu,0
2017-03-24 17:30:52,is,http://www.nd.edu,0
2017-03-24 17:30:52,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 17:30:52,twitter,http://www.pbs.org,77
2017-03-24 17:30:52,facebook,http://www.pbs.org,50
2017-03-24 17:30:52,newsletter,http://www.pbs.org,1
2017-03-24 17:30:52,this,http://www.pbs.org,94
2017-03-24 17:30:52,is,http://www.pbs.org,345
2017-03-24 17:30:52,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-24 19:02:55,twitter,http://www.cnn.com,9
2017-03-24 19:02:55,facebook,http://www.cnn.com,9
2017-03-24 19:02:55,newsletter,http://www.cnn.com,19
2017-03-24 19:02:55,this,http://www.cnn.com,12
2017-03-24 19:02:55,is,http://www.cnn.com,321
2017-03-24 19:02:55,america,http://www.cnn.com,14

Time,Phrase,Site,Count
2017-03-24 19:02:55,twitter,http://www.nd.edu,0
2017-03-24 19:02:55,facebook,http://www.nd.edu,0
2017-03-24 19:02:55,newsletter,http://www.nd.edu,0
2017-03-24 19:02:55,this,http://www.nd.edu,0
2017-03-24 19:02:55,is,http://www.nd.edu,0
2017-03-24 19:02:55,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-24 19:02:55,twitter,http://www.pbs.org,78
2017-03-24 19:02:55,facebook,http://www.pbs.org,50
2017-03-24 19:02:55,newsletter,http://www.pbs.org,1
2017-03-24 19:02:55,this,http://www.pbs.org,94
2017-03-24 19:02:55,is,http://www.pbs.org,345
2017-03-24 19:02:55,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-25 16:27:55,twitter,http://www.cnn.com,9
2017-03-25 16:27:55,facebook,http://www.cnn.com,9
2017-03-25 16:27:55,newsletter,http://www.cnn.com,19
2017-03-25 16:27:55,this,http://www.cnn.com,8
2017-03-25 16:27:55,is,http://www.cnn.com,329
2017-03-25 16:27:55,america,http://www.cnn.com,14

Time,Phrase,Site,Count
2017-03-25 16:27:55,twitter,http://www.cnn.com,9
2017-03-25 16:27:55,facebook,http://www.cnn.com,9
2017-03-25 16:27:55,newsletter,http://www.cnn.com,19
2017-03-25 16:27:55,this,http://www.cnn.com,8
2017-03-25 16:27:55,is,http://www.cnn.com,329
2017-03-25 16:27:55,america,http://www.cnn.com,14

Time,Phrase,Site,Count
2017-03-25 16:27:55,twitter,http://www.nd.edu,0
2017-03-25 16:27:55,facebook,http://www.nd.edu,0
2017-03-25 16:27:55,newsletter,http://www.nd.edu,0
2017-03-25 16:27:55,this,http://www.nd.edu,0
2017-03-25 16:27:55,is,http://www.nd.edu,0
2017-03-25 16:27:55,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-25 16:30:35,twitter,http://www.cnn.com,9
2017-03-25 16:30:35,facebook,http://www.cnn.com,9
2017-03-25 16:30:35,newsletter,http://www.cnn.com,19
2017-03-25 16:30:35,this,http://www.cnn.com,8
2017-03-25 16:30:35,is,http://www.cnn.com,329
2017-03-25 16:30:35,america,http://www.cnn.com,14

Time,Phrase,Site,Count
2017-03-25 16:30:35,twitter,http://www.nd.edu,0
2017-03-25 16:30:35,facebook,http://www.nd.edu,0
2017-03-25 16:30:35,newsletter,http://www.nd.edu,0
2017-03-25 16:30:35,this,http://www.nd.edu,0
2017-03-25 16:30:35,is,http://www.nd.edu,0
2017-03-25 16:30:35,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-25 16:30:35,twitter,http://www.pbs.org,66
2017-03-25 16:30:35,facebook,http://www.pbs.org,50
2017-03-25 16:30:35,newsletter,http://www.pbs.org,1
2017-03-25 16:30:35,this,http://www.pbs.org,94
2017-03-25 16:30:35,is,http://www.pbs.org,338
2017-03-25 16:30:35,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-25 16:30:35,twitter, JOPÿ,9
2017-03-25 16:30:35,facebook, JOPÿ,9
2017-03-25 16:30:35,newsletter, JOPÿ,19
2017-03-25 16:30:35,this, JOPÿ,8
2017-03-25 16:30:35,is, JOPÿ,329
2017-03-25 16:30:35,america, JOPÿ,14

Time,Phrase,Site,Count
2017-03-25 16:38:06,twitter,http://www.cnn.com,9
2017-03-25 16:38:06,facebook,http://www.cnn.com,9
2017-03-25 16:38:06,newsletter,http://www.cnn.com,19
2017-03-25 16:38:06,this,http://www.cnn.com,8
2017-03-25 16:38:06,is,http://www.cnn.com,329
2017-03-25 16:38:06,america,http://www.cnn.com,14

Time,Phrase,Site,Count
2017-03-25 16:38:06,twitter,http://www.nd.edu,0
2017-03-25 16:38:06,facebook,http://www.nd.edu,0
2017-03-25 16:38:06,newsletter,http://www.nd.edu,0
2017-03-25 16:38:06,this,http://www.nd.edu,0
2017-03-25 16:38:06,is,http://www.nd.edu,0
2017-03-25 16:38:06,america,http://www.nd.edu,0

